well,date,value
well_9,5/1/2011,0.0
well_9,6/1/2011,72.0
well_9,7/1/2011,84.43478261
well_9,8/1/2011,80.76
well_9,9/1/2011,73.37037037
well_9,10/1/2011,45.77777778
well_9,11/1/2011,21.12
well_9,12/1/2011,27.38095238
well_9,1/1/2012,28.59090909
well_9,2/1/2012,25.76190476
well_9,3/1/2012,7.428571429
well_9,4/1/2012,2.918699187
well_9,5/1/2012,2.691729323
well_9,6/1/2012,2.966386555
well_9,7/1/2012,2.894308943
well_9,8/1/2012,11.26086957
well_9,9/1/2012,14.36842105
well_9,10/1/2012,8.677419355
well_9,11/1/2012,0.0
well_9,12/1/2012,11.62962963
well_9,1/1/2013,9.166666667
well_9,2/1/2013,4.615384615
well_9,3/1/2013,3.59375
well_9,4/1/2013,3.181818182
well_9,5/1/2013,2.564102564
well_9,6/1/2013,2.5
well_9,7/1/2013,2.65625
well_9,8/1/2013,3.862068966
well_9,9/1/2013,3.466666667
well_9,10/1/2013,3.857142857
well_9,11/1/2013,1.875
well_9,12/1/2013,1.90625
well_9,1/1/2014,1.709677419
well_9,2/1/2014,2.838709677
well_9,3/1/2014,2.527777778
well_9,4/1/2014,2.594594595
well_9,5/1/2014,1.8125
well_9,6/1/2014,5.035714286
well_9,7/1/2014,8.847222222
well_9,8/1/2014,8.656862745
well_9,9/1/2014,7.007518797
well_9,10/1/2014,7.0
well_9,11/1/2014,6.307142857
well_9,12/1/2014,8.0
well_9,1/1/2015,7.921212121
well_9,2/1/2015,4.47260274
well_9,3/1/2015,6.0
